Character,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Nirmali,8,0.727272727,0.345454545,0.785714286,0.474540357
Sumon,8,0.727272727,0.427272727,0.785714286,0.458586475
Jumi,6,0.545454545,0.227272727,0.6875,0.403566077
Bora Daa,2,0.181818182,0,0.523809524,0.196517167
Dilip,4,0.363636364,0,0.611111111,0.356610059
Piku,2,0.181818182,0,0.523809524,0.196517167
Edi,2,0.181818182,0,0.5,0.184929203
Mina,4,0.363636364,0,0.611111111,0.356610059
Rajesh,1,0.090909091,0,0.458333333,0.099938381
Elyas,1,0.090909091,0,0.458333333,0.096578786
Professor Bezbaruah,1,0.090909091,0,0.458333333,0.096578786
Rakesh,1,0.090909091,0,0.423076923,0.084990823
