Characters A,Characters B,Role (Characters A),Role (Characters B),Weight
Juri,Junak,Protagonist (Round or Dynamic),Deutarogonist (Mirror),30
Juri,Kobita,Protagonist (Round or Dynamic),Minor (Flat),5
Juri,Police Officer,Protagonist (Round or Dynamic),Minor (Flat),3
Juri,Doctor 1,Protagonist (Round or Dynamic),Minor (Flat),16
Juri,Mother-in-Law,Protagonist (Round or Dynamic),Minor (Flat),7
Juri,Racktim,Protagonist (Round or Dynamic),Minor (Flat),15
Juri,Juri's Mother,Protagonist (Round or Dynamic),Deutarogonist (Mirror),37
Juri,Jayanta,Protagonist (Round or Dynamic),Minor (Mirror),23
Juri,Jayanta's Wife,Protagonist (Round or Dynamic),Minor (Foil),6
Juri,Boss,Protagonist (Round or Dynamic),Minor (Flat),12
Juri,Senior Colleague,Protagonist (Round or Dynamic),Minor (Flat),5
Juri,HIV Activist 1,Protagonist (Round or Dynamic),Minor (Flat),3
Juri,HIV Activist 2,Protagonist (Round or Dynamic),Minor (Flat),5
Juri,Malati,Protagonist (Round or Dynamic),Minor (Flat),3
Juri,Repoter,Protagonist (Round or Dynamic),Minor (Flat),2
Juri,Doctor 2,Protagonist (Round or Dynamic),Minor (Flat),1
Juri,Doctor 3,Protagonist (Round or Dynamic),Minor (Flat),7
Juri,Doctor 4,Protagonist (Round or Dynamic),Minor (Flat),3
Juri,Neighbour,Protagonist (Round or Dynamic),Minor (Flat),9
Juri,Ran,Protagonist (Round or Dynamic),Minor (Flat),2
Juri,Village Women,Protagonist (Round or Dynamic),Minor (Flat),2
Juri,Baro,Protagonist (Round or Dynamic),Minor (Flat),2
Juri,Nurse 1,Protagonist (Round or Dynamic),Minor (Flat),2
Junak,Mitali,Deutarogonist (Mirror),Minor (Flat),4
Junak,Reporter,Deutarogonist (Mirror),Minor (Flat),4
Juri's Mother,Ran,Deutarogonist (Mirror),Minor (Flat),5
Juri's Mother,Village Women,Deutarogonist (Mirror),Minor (Flat),5
Juri's Mother,Jayanta,Deutarogonist (Mirror),Minor (Mirror),9
Juri's Mother,Village Nurse,Deutarogonist (Mirror),Minor (Flat),3
Juri's Mother,Jayanta's Wife,Deutarogonist (Mirror),Minor (Foil),4
Juri's Mother,Neighbour,Deutarogonist (Mirror),Minor (Flat),4
Juri's Mother,Helper Boy,Deutarogonist (Mirror),Minor (Flat),3
Jayanta's Wife,Jayanta,Minor (Foil),Minor (Mirror),18
Jayanta's Wife,Village Women,Minor (Foil),Minor (Flat),3
Mother-in-Law,Malati,Minor (Foil),Minor (Flat),2
Doctor 2,Racktim,Minor (Flat),Minor (Flat),6
Doctor 3,Nurse 2,Minor (Flat),Minor (Flat),2
