Character,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Juri,23,0.821428571,0.920194004,0.848484848,0.632136814
Junak,3,0.107142857,0.14021164,0.5,0.123693832
Kobita,1,0.035714286,0,0.466666667,0.115443043
Police Officer,1,0.035714286,0,0.466666667,0.115443043
Doctor 1,1,0.035714286,0,0.466666667,0.115443043
Mother-in-Law,2,0.071428571,0,0.474576271,0.141236356
Racktim,2,0.071428571,0,0.474576271,0.141236356
Juri's Mother,8,0.285714286,0.150352734,0.549019608,0.329857923
Jayanta,3,0.107142857,0,0.5,0.222616522
Jayanta's Wife,4,0.142857143,0.000881834,0.509090909,0.256993739
Boss,1,0.035714286,0,0.466666667,0.115443043
Senior Colleague,1,0.035714286,0,0.466666667,0.115443043
HIV Activist 1,1,0.035714286,0,0.466666667,0.115443043
HIV Activist 2,1,0.035714286,0,0.466666667,0.115443043
Malati,2,0.071428571,0,0.474576271,0.141236356
Repoter,1,0.035714286,0,0.466666667,0.115443043
Doctor 2,2,0.071428571,0,0.474576271,0.141236356
Doctor 3,2,0.071428571,0.071428571,0.482758621,0.119426101
Doctor 4,1,0.035714286,0,0.466666667,0.115443043
Neighbour,2,0.071428571,0,0.49122807,0.175683134
Ran,2,0.071428571,0,0.49122807,0.175683134
Village Women,3,0.107142857,0,0.5,0.222616522
Baro,1,0.035714286,0,0.466666667,0.115443043
Nurse 1,1,0.035714286,0,0.466666667,0.115443043
Mitali,1,0.035714286,0,0.337349398,0.022589655
Reporter,1,0.035714286,0,0.337349398,0.022589655
Village Nurse,1,0.035714286,0,0.358974359,0.06024009
Helper Boy,1,0.035714286,0,0.358974359,0.06024009
Nurse 2,1,0.035714286,0,0.329411765,0.021810255
