Character,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Torali,0,0.714285714,0.593406593,0.777777778,0.55651392
Dindayal Baruah,0,0.428571429,0.186813187,0.583333333,0.400903479
Dindayal Baruah's Wife,0,0.071428571,0,0.451612903,0.124741049
Pradipta,0,0.357142857,0.203296703,0.608695652,0.324357394
Jitu,0,0.214285714,0,0.5,0.276601277
Ranima,0,0.214285714,0,0.5,0.276601277
Manas,0,0.214285714,0.005494505,0.482758621,0.223235104
Samiran,0,0.285714286,0.274725275,0.56,0.219502665
Akash,0,0.214285714,0.010989011,0.5,0.264639568
Lady Doctor,0,0.142857143,0,0.466666667,0.174778443
Mrigen,0,0.142857143,0,0.482758621,0.197445282
Raju,0,0.071428571,0,0.368421053,0.04920149
Alisa,0,0.071428571,0,0.368421053,0.04920149
Rajita,0,0.071428571,0,0.388888889,0.072704234
Minee,0,0.071428571,0,0.378378378,0.089861124
