Characters A,Characters B,Role (Characters A),Role (Characters B),Weight
Torali,Dindayal Baruah,Protagonist (Round or Dynamic),Antagonist (Foil),12
Torali,Dindayal Baruah's Wife,Protagonist (Round or Dynamic),Minor (Flat),11
Torali,Pradipta,Protagonist (Round or Dynamic),Deutarogonist (Flat),11
Torali,Jitu,Protagonist (Round or Dynamic),Minor (Foil),1
Torali,Ranima,Protagonist (Round or Dynamic),Minor (Flat),5
Torali,Manas,Protagonist (Round or Dynamic),Minor (Flat),3
Torali,Samiran,Protagonist (Round or Dynamic),Deutarogonist (Mirror),2
Torali,Akash,Protagonist (Round or Dynamic),Minor (Mirror),20
Torali,Lady Doctor,Protagonist (Round or Dynamic),Minor (Flat),4
Torali,Mrigen,Protagonist (Round or Dynamic),Minor (Foil),13
Samiran,Raju,Deutarogonist (Mirror),Minor (Flat),8
Samiran,Alisa,Deutarogonist (Mirror),Minor (Flat),9
Samiran,Pradipta,Deutarogonist (Mirror),Deutarogonist (Flat),52
Pradipta,Rajita,Deutarogonist (Flat),Minor (Flat),42
Pradipta,Dindayal Baruah,Deutarogonist (Flat),Antagonist (Foil),3
Pradipta,Mrigen,Deutarogonist (Flat),Minor (Foil),9
Dindayal Baruah,Akash,Antagonist (Foil),Minor (Mirror),10
Dindayal Baruah,Jitu,Antagonist (Foil),Minor (Foil),11
Dindayal Baruah,Minee,Antagonist (Foil),Minor (Flat),9
Dindayal Baruah,Ranima,Antagonist (Foil),Minor (Flat),2
Jitu,Ranima,Minor (Foil),Minor (Flat),3
Manas,Lady Doctor,Minor (Flat),Minor (Flat),1
Manas,Akash,Minor (Flat),Minor (Mirror),2
