Character,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Bulbul,10,0.769231,0.529915,0.8125,0.522884
Sum,8,0.615385,0.356838,0.722222,0.456776
Bony,5,0.384615,0.15812,0.619048,0.348108
Gunjan,2,0.153846,0.0,0.481481,0.173049
Bulbul's Father,2,0.153846,0.0,0.481481,0.173049
Bulbul's Mother,4,0.307692,0.044872,0.565217,0.284243
Parag,2,0.153846,0.0,0.52,0.210039
Bony's Mother,3,0.230769,0.0,0.565217,0.284673
English Teacher,1,0.076923,0.0,0.464286,0.112107
Music Teacher,3,0.230769,0.0,0.565217,0.284673
Bony+Sum,1,0.076923,0.0,0.464286,0.112107
Photographer,1,0.076923,0.0,0.433333,0.097933
Dip,1,0.076923,0.0,0.393939,0.074634
Boy's Group,1,0.076923,0.0,0.433333,0.097933
