Name,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Neela,8,0.3333333333333333,0.5851449275362319,0.545045045045045,0.4712327564125394
Auto Rickshaw Driver 1,2,0.08333333333333333,0.0,0.42013888888888884,0.2655075403060296
Akash,11,0.4583333333333333,0.5507246376811594,0.517094017094017,0.5517669806662062
Anuradha,3,0.125,0.213768115942029,0.3878205128205128,0.14214543942281832
Neela's Mother,3,0.125,0.005434782608695652,0.37345679012345673,0.22313296864637475
Ajay,2,0.08333333333333333,0.0,0.3538011695906432,0.18021573874581176
Boss,1,0.041666666666666664,0.0,0.34770114942528735,0.12230357541096291
Neela's Father,4,0.16666666666666666,0.14855072463768115,0.3805031446540881,0.20827541520115392
Neela's Sister,1,0.041666666666666664,0.0,0.34770114942528735,0.12230357541096291
Man 1,1,0.041666666666666664,0.0,0.27625570776255703,0.03689250341823405
Anuradha's Husband,2,0.08333333333333333,0.07608695652173914,0.284037558685446,0.03955716146301478
Engineer,1,0.041666666666666664,0.0,0.21920289855072464,0.010266731130614761
 Pension Officer 1,1,0.041666666666666664,0.0,0.2725225225225225,0.054056057066773376
 Pension Officer 2,1,0.041666666666666664,0.0,0.2725225225225225,0.054056057066773376
Passenger 1,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Passenger 2,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Passenger 3,2,0.08333333333333333,0.0,0.3418079096045198,0.19339767500843952
Passenger 4,2,0.08333333333333333,0.0,0.3418079096045198,0.19339767500843952
Passenger 5,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Passenger 6,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Girlfriend,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Police,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Transgender,1,0.041666666666666664,0.0,0.3361111111111111,0.14320396489506665
Young Akash,1,0.041666666666666664,0.0,0.041666666666666664,2.103130565040308e-14
Neighbour,1,0.041666666666666664,0.0,0.041666666666666664,2.103130565040308e-14
