Name,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Devinath,5,0.18518518518518517,0.11633428300094968,0.29301453352086265,0.08516773998076549
Tejimola,4,0.14814814814814814,0.054131054131054145,0.31709791983764585,0.11705980402690097
Senehi,5,0.18518518518518517,0.17663817663817663,0.3561253561253562,0.1407840588220819
Keteki,3,0.1111111111111111,0.07692307692307694,0.3128128128128128,0.05582195772766289
Bhodiya,2,0.07407407407407407,0.0,0.257201646090535,0.03278544533925899
Village Woman,1,0.037037037037037035,0.0,0.22473930240920534,0.019804820099361003
Bonolotika,3,0.1111111111111111,0.06790123456790123,0.3616898148148148,0.21750148329298238
Phaguni,2,0.07407407407407407,0.0,0.2660706683695189,0.059957665026119364
Dhoneshwari,9,0.3333333333333333,0.27920227920227925,0.42866941015089166,0.5077987250907477
Bhadoi,4,0.14814814814814814,0.1965811965811966,0.42087542087542085,0.3105153466876391
Man with Duck,1,0.037037037037037035,0.0,0.2967711301044635,0.11807722310695477
Budheshwar,3,0.1111111111111111,0.0,0.34549474847982314,0.2960401544160589
Jagannath,8,0.2962962962962963,0.44871794871794873,0.46296296296296297,0.46930171003177723
Rupeshwari,3,0.1111111111111111,0.06837606837606838,0.3507295173961841,0.2401895319782197
Python,1,0.037037037037037035,0.0,0.2967711301044635,0.11807722310695477
"Servant (1,2)",1,0.037037037037037035,0.0,0.2967711301044635,0.11807722310695477
Priest,3,0.1111111111111111,0.0,0.34549474847982314,0.2960401544160589
Punai,4,0.14814814814814814,0.24786324786324787,0.3507295173961841,0.13644663544254795
Servant,1,0.037037037037037035,0.0,0.3128128128128128,0.10912553060943127
Keteki's Husband,2,0.07407407407407407,0.10493827160493831,0.3561253561253562,0.12210615584932927
The Jackal,1,0.037037037037037035,0.0,0.2600915522263837,0.03273713756999888
Maloti,3,0.1111111111111111,0.06837606837606838,0.2660706683695189,0.04384639537015511
Pomila,1,0.037037037037037035,0.0,0.20854187520854187,0.010195433817817384
Keteki's Husband ,1,0.037037037037037035,0.0,0.257201646090535,0.03172751300526844
Punai's Father,1,0.037037037037037035,0.0,0.037037037037037035,3.0906954042753098e-18
Young Punai,1,0.037037037037037035,0.0,0.037037037037037035,3.0906954042753098e-18
Champawati,1,0.037037037037037035,0.0,0.257201646090535,0.055850622437839274
Tawoi,2,0.07407407407407407,0.0,0.2630471380471381,0.04192294682308582
